"","Player","Pos.x","Age.x","Tm.x","G.x","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"722","Thomas Robinson\robinth01","PF",25,"LAL",48,1,11.7,2.2,4.1,0.536,0,0,0,2.2,4.1,0.538,0.536,0.6,1.4,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1,1.6,5,"PF",25,"LAL",48,560,17.3,0.535,0.005,0.337,15.8,28.1,21.8,8.8,2.3,1.3,17,20.7,NA,0.3,0.6,0.9,0.079,NA,-2.2,-0.1,-2.3,0
"723","Sergio Rodríguez\rodrise01","PG",30,"PHI",68,30,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2,2.3,5.1,0.7,0.1,1.9,1.4,7.8,"PG",30,"PHI",68,1518,11.1,0.484,0.47,0.05,1.5,9.9,5.7,35.4,1.6,0.2,18.9,19.3,NA,-0.3,1,0.7,0.023,NA,-1.6,-2.3,-3.8,-0.7
"724","Rajon Rondo\rondora01","PG",30,"CHI",69,42,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,"PG",30,"CHI",69,1843,13.6,0.461,0.237,0.089,4.2,16.6,10.4,37,2.7,0.5,22.5,17.8,NA,-0.4,2.7,2.3,0.06,NA,-1.3,1.6,0.3,1.1
"725","Derrick Rose\rosede01","PG",28,"NYK",64,64,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7,14.3,0.487,0.477,3.5,4,0.874,1,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18,"PG",28,"NYK",64,2082,17,0.53,0.061,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,NA,2.4,0.6,3,0.068,NA,0.2,-2.2,-1.9,0
"726","Terrence Ross\rosste01","SF",25,"TOT",78,24,25.1,4.2,9.6,0.437,1.8,5,0.363,2.4,4.6,0.518,0.532,0.8,1,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11,"SF",25,"TOT",78,1955,13.4,0.55,0.524,0.103,1,10.8,5.9,7.1,2.2,1.4,8,19.3,NA,1.5,2,3.5,0.086,NA,0.4,-0.6,-0.3,0.9
"727","Terrence Ross\rosste01","SF",25,"TOT",78,24,25.1,4.2,9.6,0.437,1.8,5,0.363,2.4,4.6,0.518,0.532,0.8,1,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11,"SF",25,"TOR",54,1207,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,NA,1.6,1.3,2.9,0.116,NA,1.2,-0.9,0.3,0.7
"728","Terrence Ross\rosste01","SF",25,"TOT",78,24,25.1,4.2,9.6,0.437,1.8,5,0.363,2.4,4.6,0.518,0.532,0.8,1,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11,"SF",25,"ORL",24,748,11.1,0.536,0.506,0.101,0.6,9.6,5,9,2.3,1.4,11.2,18.5,NA,0,0.6,0.6,0.037,NA,-1,-0.2,-1.2,0.1
"729","Terrence Ross\rosste01","SF",25,"TOR",54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1,0.4,0.6,1.5,10.4,"SF",25,"TOT",78,1955,13.4,0.55,0.524,0.103,1,10.8,5.9,7.1,2.2,1.4,8,19.3,NA,1.5,2,3.5,0.086,NA,0.4,-0.6,-0.3,0.9
"730","Terrence Ross\rosste01","SF",25,"TOR",54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1,0.4,0.6,1.5,10.4,"SF",25,"TOR",54,1207,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,NA,1.6,1.3,2.9,0.116,NA,1.2,-0.9,0.3,0.7
"731","Terrence Ross\rosste01","SF",25,"TOR",54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1,0.4,0.6,1.5,10.4,"SF",25,"ORL",24,748,11.1,0.536,0.506,0.101,0.6,9.6,5,9,2.3,1.4,11.2,18.5,NA,0,0.6,0.6,0.037,NA,-1,-0.2,-1.2,0.1
"732","Terrence Ross\rosste01","SF",25,"ORL",24,24,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1,1.1,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5,"SF",25,"TOT",78,1955,13.4,0.55,0.524,0.103,1,10.8,5.9,7.1,2.2,1.4,8,19.3,NA,1.5,2,3.5,0.086,NA,0.4,-0.6,-0.3,0.9
"733","Terrence Ross\rosste01","SF",25,"ORL",24,24,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1,1.1,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5,"SF",25,"TOR",54,1207,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,NA,1.6,1.3,2.9,0.116,NA,1.2,-0.9,0.3,0.7
"734","Terrence Ross\rosste01","SF",25,"ORL",24,24,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1,1.1,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5,"SF",25,"ORL",24,748,11.1,0.536,0.506,0.101,0.6,9.6,5,9,2.3,1.4,11.2,18.5,NA,0,0.6,0.6,0.037,NA,-1,-0.2,-1.2,0.1
"735","Terry Rozier\roziete01","PG",22,"BOS",74,0,17.1,2,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,"PG",22,"BOS",74,1263,10.9,0.466,0.436,0.161,3.6,16.3,10,15.2,1.8,0.7,9.7,17.1,NA,0,1.4,1.4,0.054,NA,-2.5,0,-2.5,-0.2
"736","Ricky Rubio\rubiori01","PG",26,"MIN",75,75,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.443,0.448,3.4,3.8,0.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,"PG",26,"MIN",75,2469,16.8,0.539,0.302,0.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,NA,4.5,1.7,6.1,0.119,NA,1.7,-0.9,0.8,1.7
"737","Damjan Rudež\rudezda01","SF",30,"ORL",45,0,7,0.7,2,0.352,0.4,1.4,0.313,0.2,0.5,0.458,0.466,0,0,NA,0.1,0.4,0.6,0.4,0.3,0,0.2,0.7,1.8,"SF",30,"ORL",45,314,6.3,0.466,0.727,0,1.7,7.1,4.3,9.2,1.9,0.3,9.3,13.6,NA,-0.1,0.2,0.1,0.008,NA,-2.8,-1.9,-4.6,-0.2
"738","Brandon Rush\rushbr01","SG",31,"MIN",47,33,21.9,1.5,4,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.4,0.722,0.3,1.8,2.1,1,0.5,0.5,0.6,0.9,4.2,"SG",31,"MIN",47,1030,6.6,0.505,0.61,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,NA,0.1,0.3,0.4,0.019,NA,-2,-0.1,-2.1,0
